47.4979,19.0402,Budapest
49.1951° N, 16.6068° E Brno
49.1686° N, 16.7273° E Slapanice
37.9838° N, 23.7275° E Athens
37.5673° N, 22.8016° E Nafplion
48.2082° N, 16.3738° E Vienna
48.1486° N, 17.1077° E Bratislava
50.0755° N, 14.4378° E Prague
51.5074° N, 0.1278° W London
41.9028° N, 12.4964° E Rome
39.7392° N, 104.9903° W Denver
39.4817° N, 106.0384° W Breckenridge 
37.3861° N, 122.0839° W Mountain View
37.3688° N, 122.0363° W Sunnyvale
37.7749° N, 122.4194° W San Francisco
37.4530° N, 122.1817° W Menlo Park
37.4419° N, 122.1430° W Palo Alto
37.3230° N, 122.0322° W Cupertino
33.4484° N, 112.0740° W Phoenix
36.1699° N, 115.1398° W Las Vegas
33.4942° N, 111.9261° W Scottsdale
29.7604° N, 95.3698° W Houston
32.7767° N, 96.7970° W Dallas
30.2672° N, 97.7431° W Austin
29.7030° N, 98.1245° W New Braunfels
29.4241° N, 98.4936° W San Antonio
27.5036° N, 99.5076° W Laredo
26.2034° N, 98.2300° W McAllen
26.1118° N, 97.1681° W South Padre Island
21.1619° N, 86.8515° W Cancun
20.6296° N, 87.0739° W Playa del Carmen
24.1426° N, 110.3128° W La Paz
22.8905° N, 109.9167° W Los Cabos
23.4464° N, 110.2265° W Todos Santos
20.6597° N, 103.3496° W Guadalajara
19.4326° N, 99.1332° W Mexico City
20.5888° N, 100.3899° W Queretaro
23.6894° N, 100.8855° W Real de Catorce
25.5428° N, 103.4068° W Torreon
25.4383° N, 100.9737° W Saltillo
33.7490° N, 84.3880° W Atlanta
38.9072° N, 77.0369° W Washington DC
42.3601° N, 71.0589° W Boston
41.6688° N, 70.2962° W Cape Cod
44.9778° N, 93.2650° W Minneapolis
28.5383° N, 81.3792° W Orlando
35.1983° N, 111.6513° W Flagstaff
