city,latitude,longitude
brno,49.1950602,16.6068371
slapanice,49.168629,16.7273178
athens,37.9838096,23.7275388
nafplion,37.5673173,22.8015531
vienna,48.2081743,16.3738189
bratislava,48.1485965,17.1077478
prague,50.0755381,14.4378005
london,51.5073509,-0.1277583
rome,41.9027835,12.4963655
denver,39.7392358,-104.990251
breckenridge,39.4816537,-106.0383518
mountain view,37.3860517,-122.0838511
sunnyvale,37.36883,-122.0363496
san francisco,37.7749295,-122.4194155
menlo park,37.4529598,-122.1817252
palo alto,37.4418834,-122.1430195
cupertino,37.3229978,-122.0321823
phoenix,33.4483771,-112.0740373
las vegas,36.1699412,-115.1398296
scottsdale,33.4941704,-111.9260519
houston,29.7604267,-95.3698028
dallas,32.7766642,-96.7969879
austin,30.267153,-97.7430608
new braunfels,29.7030024,-98.1244531
san antonio,29.4241219,-98.4936282
laredo,27.5035613,-99.5075519
mcallen,26.2034071,-98.2300124
south padre island,26.1118401,-97.1681257
cancun,21.161908,-86.8515279
Playa del Carmen,20.6295586,-87.0738851
La Paz,-16.489689,-68.1192936
Todos Santos,33.6386381,-117.5927977
Los Cabos,22.8905327,-109.9167371
Guadalajara,20.6596988,-103.3496092
Mexico city,19.4326077,-99.133208
Queretaro,20.5887932,-100.3898881
Real de Catorce,23.6893967,-100.8855459
Torreon,25.5428443,-103.4067861
Saltillo,25.4383234,-100.973678
Atlanta,33.7489954,-84.3879824
Washington DC,38.9071923,-77.0368707
Boston,42.3600825,-71.0588801
Cape cod,41.6687897,-70.2962408
Minneapolis,44.977753,-93.2650108
Orlando,28.5383355,-81.3792365
Flagstaff,35.1982836,-111.651302
